OG	n_seq	function_summary	top_pfam_domains	top_blast_hits	blast_best_evalue	signalp_sp_count	tmhmm_breakdown	localization_note	calcification_relevance	calcification_rationale
OG0022473	9	Uncharacterised; 3 SP+TM, 1 SP	no PFAM hit	no blast hit	NA	3	GLOB=5, SP=1, SP+TM=3	3/9 w/ signal peptide; 3/9 with TM	weak	Secreted/membrane-anchored unknown protein — possible novel matrix component.
OG0022474	9	F-box / WD-repeat adaptor	F-box-like (PF12937.13, n=8, F-box-like); F-box (PF00646.39, n=6, F-box domain)	no blast hit	NA	0	GLOB=9	9/9 globular	unlikely	Ubiquitination.
OG0022492	9	β-propeller / WD40 (TEP1/WDR3/WDR5/WDR55/THOC3-like)	Beta-prop_TEP1_2nd (PF25047.1, n=7, TEP-1 second beta-propeller); Beta-prop_WDR3_1st (PF25173.2, n=5, WDR3 first beta-propeller domain); WD40 (PF00400.39, n=5, WD domain, G-beta repeat); Beta-prop_WDR5 (PF25175.2, n=5, WDR5 beta-propeller domain); WDR55 (PF24796.2, n=5, WDR55); Beta-prop_THOC3 (PF25174.2, n=5, THOC3 beta-propeller domain)	Myosin heavy chain kinase B; Zinc finger CCCH domain-containing protein 17; F-box/WD repeat-containing protein 7	2.6e-10	0	GLOB=9	9/9 globular	unlikely	Ribosome/spliceosome biogenesis WD40 scaffolds.
OG0022500	9	Uncharacterised	no PFAM hit	no blast hit	NA	0	GLOB=9	9/9 globular	weak	Unknown.
OG0022520	9	Uncharacterised	no PFAM hit	no blast hit	NA	0	GLOB=9	9/9 globular	weak	Unknown.
OG0022524	9	Pentapeptide-repeat protein	Pentapeptide (PF00805.29, n=9, Pentapeptide repeats (8 copies)); Pentapeptide_4 (PF13599.14, n=9, Pentapeptide repeat region); Pentapeptide_3 (PF13576.13, n=9, Pentapeptide repeats (9 copies)); Decapeptide (PF25296.2, n=4, Decapeptide repeat region)	Uncharacterized protein in mobD 3'region; Uncharacterized protein slr1819; Uncharacterized protein slr1851	9.5e-29	0	GLOB=9	9/9 globular	moderate	See OG0001976 — potential CCM / Ca2+-binding cyanobacterial-type repeat.
OG0022528	9	Uncharacterised	no PFAM hit	no blast hit	NA	0	GLOB=9	9/9 globular	weak	Unknown.
OG0023496	8	Protein kinase (blast: BMP-2-inducible kinase / AP2-associated kinase)	Pkinase (PF00069.32, n=8, Protein kinase domain); PK_Tyr_Ser-Thr (PF07714.24, n=8, Protein tyrosine and serine/threonine kinase); Kdo (PF06293.21, n=1, Lipopolysaccharide kinase (Kdo/WaaP) family)	BMP-2-inducible protein kinase; AP2-associated protein kinase 1; AP2-associated protein kinase 1	9.4e-30	0	GLOB=8	8/8 globular	moderate	BMP2K/AAK1 homologues; BMP-2 signalling is central to osteoblast differentiation and vertebrate bone mineralisation. Kinase activity could be involved in analogous calcification signalling.
OG0023566	8	RHD3/SEY1 ER-membrane-fusion GTPase	RHD3_GTPase (PF05879.19, n=3, Root hair defective 3 GTP-binding protein (RHD3) GTPase domain)	Protein SEY1 homolog; Protein ROOT HAIR DEFECTIVE 3 homolog 1; Protein ROOT HAIR DEFECTIVE 3 homolog 2	1.6e-18	3	GLOB=5, SP=2, TM=1	3/8 w/ signal peptide; 1/8 with TM	moderate	SEY1/RHD3 drives ER-network homotypic fusion. ER remodelling is upstream of coccolith-vesicle formation; disruption of SEY1 alters secretion — relevant to biomineralisation machinery.
OG0023594	8	Glycosyl-transferase family 8 (PF01501); 1 SP+TM	Glyco_transf_8 (PF01501.27, n=6, Glycosyl transferase family 8); LRR_5 (PF13306.13, n=1, BspA type Leucine rich repeat region (6 copies)); Ank_2 (PF12796.14, n=1, Ankyrin repeats (3 copies)); Ank_4 (PF13637.13, n=1, Ankyrin repeats (many copies)); Ank (PF00023.37, n=1, Ankyrin repeat); Ank_3 (PF13606.13, n=1, Ankyrin repeat)	Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1; Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1; Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1	1.4e-11	1	GLOB=7, SP+TM=1	1/8 w/ signal peptide; 1/8 with TM	moderate	GT8 includes galacturonosyl/galactosyltransferases that build pectic and other cell-wall/matrix polysaccharides; in algae they contribute to the organic coccolith matrix.
OG0023657	8	Uncharacterised	no PFAM hit	no blast hit	NA	0	GLOB=8	8/8 globular	weak	Unknown.
OG0023790	8	Red chlorophyll catabolite reductase	RCC_reductase (PF06405.17, n=6, Red chlorophyll catabolite reductase (RCC reductase))	Red chlorophyll catabolite reductase (Fragment); Red chlorophyll catabolite reductase 1, chloroplastic	2.0e-06	1	GLOB=4, SP=4	1/8 w/ signal peptide	unlikely	Chlorophyll catabolism.
OG0024846	7	TOD1/MUCI70 glycosyltransferase-like domain (PF04765); 2 SP	TOD1_MUCI70 (PF04765.20, n=4, TOD1/MUCI70, glycosyltransferase-like domain)	Probable hexosyltransferase MUCI70	1.1e-05	1	GLOB=5, SP=2	1/7 w/ signal peptide	moderate	MUCI70 is a mucin-type O-glycosyltransferase required for cell-wall biosynthesis in plants; in algae the homologue likely glycosylates matrix mucin-like proteins forming the coccolith organic scaffold.
OG0024979	7	Uncharacterised	no PFAM hit	no blast hit	NA	0	GLOB=7	7/7 globular	weak	Unknown.
OG0025015	7	Uncharacterised; 7/7 TM	no PFAM hit	no blast hit	NA	0	TM=7	7/7 with TM	weak	All predicted as multi-pass membrane protein — possible novel transporter; function unassigned.
OG0025016	7	Uncharacterised	no PFAM hit	no blast hit	NA	0	GLOB=7	7/7 globular	weak	Unknown.
OG0025059	7	Uncharacterised; 5/7 SP	no PFAM hit	no blast hit	NA	5	GLOB=2, SP=5	5/7 w/ signal peptide	weak	Secretion-prone unknown protein — possible lineage-specific matrix protein.
OG0026865	6	JmjC-domain Fe(II)/2OG hydroxylase	JmjC (PF02373.29, n=5, JmjC domain, hydroxylase); Cupin_8 (PF13621.13, n=1, Cupin-like domain)	Bifunctional arginine demethylase and lysyl-hydroxylase PSR; Lysine-specific demethylase JMJ21; Bifunctional arginine demethylase and lysyl-hydroxylase psr-1	3.5e-21	0	GLOB=6	6/6 globular	weak	JmjC hydroxylases include histone demethylases and the PSR arginine-demethylase. A subset (2OG-dioxygenases) performs collagen Pro/Lys hydroxylation, coupling to mineralisation, but BLAST here points to demethylase activity.
