"orthogroup"	"sequence_count"	"species_count"	"final_function"	"final_calcification_relevance"	"final_rationale"	"evidence_strength_note"	"signalp_positive"	"deeptmhmm_tm_or_beta_count"	"blast_hit_queries"	"pfam_hit_queries"	"top_blast"	"top_pfam"	"deeptmhmm_summary"	"model_consensus_mean_score"	"model_disagreement_sd"
"OG0022455"	"9"	"8"	"Uncharacterized soluble/orphan family"	"Low"	"No informative evidence."	""	"0"	"0"	"0"	"0"	""	""	"GLOB:7; SP:2"	"1.06"	"0.73"
"OG0022473"	"9"	"7"	"Uncharacterized partially secreted/membrane family"	"Watchlist"	"Partial topology signal without function; weak orphan candidate."	""	"3"	"3"	"0"	"0"	""	""	"GLOB:5; SP:1; SP+TM:3"	"1.17"	"0.71"
"OG0022474"	"9"	"8"	"F-box protein"	"Low"	"Protein-turnover adaptor."	""	"0"	"0"	"0"	"8"	""	"F-box-like (8; F-box-like; bestE=3.6E-10); F-box (6; F-box; bestE=1E-06)"	"GLOB:9"	"0.5"	"0"
"OG0022492"	"9"	"8"	"Beta-propeller/WD40 kinase-associated scaffold"	"Low"	"Regulatory scaffold/kinase hits, no calcification-specific evidence."	""	"0"	"0"	"5"	"9"	"Myosin heavy chain kinase B (4); Zinc finger CCCH domain-containing protein 17 (1)"	"Beta-prop_TEP1_2nd (7; TEP-1; bestE=1.2E-09); Beta-prop_TEP1_C (5; TEP-1; bestE=1.1E-07); Beta-prop_THOC3 (5; THOC3; bestE=7.3E-10); Beta-prop_WDR3_1st (5; WDR3; bestE=5.1E-13); Beta-prop_WDR5 (5; WDR5; bestE=9.4E-11); WD40 (5; WD; bestE=6.8E-12)"	"GLOB:9"	"0.94"	"0.88"
"OG0022500"	"9"	"9"	"Uncharacterized soluble/orphan family"	"Low"	"No informative evidence."	""	"0"	"0"	"0"	"0"	""	""	"GLOB:9"	"0.83"	"0.5"
"OG0022520"	"9"	"9"	"Uncharacterized soluble/orphan family"	"Low"	"No informative evidence."	""	"0"	"0"	"0"	"0"	""	""	"GLOB:9"	"0.83"	"0.5"
"OG0022524"	"9"	"7"	"Pentapeptide-repeat protein family"	"Low"	"Pentapeptide-repeat support but no secretion or direct calcification evidence."	"Same overreach risk as OG0001976."	"0"	"0"	"9"	"9"	"Uncharacterized protein slr1819 (4); Pentapeptide repeat protein MfpA (3); Uncharacterized protein in mobD 3'region (2)"	"Pentapeptide (9; Pentapeptide; bestE=5.1E-74); Pentapeptide_3 (9; Pentapeptide; bestE=1E-29); Pentapeptide_4 (9; Pentapeptide; bestE=5.8E-38); Decapeptide (4; Decapeptide; bestE=5.7E-10)"	"GLOB:9"	"1.11"	"1.27"
"OG0022528"	"9"	"7"	"Uncharacterized soluble/orphan family"	"Low"	"No informative evidence."	""	"0"	"0"	"0"	"0"	""	""	"GLOB:9"	"0.83"	"0.5"
"OG0023496"	"8"	"7"	"Protein kinase or GAK-BMP2K-like kinase"	"Watchlist"	"Possible vesicle/signalling role, but no direct mineral chemistry or matrix evidence."	"BMP2K name alone should not be treated as skeletogenic evidence in haptophytes."	"0"	"0"	"8"	"8"	"Cyclin-G-associated kinase (4); BMP-2-inducible protein kinase (2); Probable serine/threonine-protein kinase DDB_G0276461 (1); Probable serine/threonine-protein kinase HAL5-like (1)"	"PK_Tyr_Ser-Thr (8; Protein; bestE=2.6E-24); Pkinase (8; Protein; bestE=4.9E-36); Kdo (1; Lipopolysaccharide; bestE=1.9E-05)"	"GLOB:8"	"1.61"	"1.05"
"OG0023566"	"8"	"8"	"SEY1/RHD3-like ER-fusion GTPase"	"Low"	"Secretory/ER morphology role is broad, not calcification-specific."	""	"3"	"1"	"5"	"3"	"Protein SEY1 (2); Protein SEY1 homolog (2); Protein ROOT HAIR DEFECTIVE 3 homolog 2 (1)"	"RHD3_GTPase (3; Root; bestE=7.1E-11)"	"GLOB:5; SP:2; TM:1"	"0.94"	"0.88"
"OG0023594"	"8"	"6"	"GT8 glycosyltransferase-like enzyme"	"Moderate"	"GT8 support is consistent with extracellular polysaccharide biosynthesis, a plausible matrix pathway."	""	"1"	"1"	"6"	"7"	"Glycosyltransferase 8 domain-containing protein 1 (2); Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1 (1); Probable galacturonosyltransferase-like 2 (1); Probable galacturonosyltransferase-like 4 (1); Putative surface protein bspA-like (1)"	"Glyco_transf_8 (6; Glycosyl; bestE=8.6E-20); Ank (1; Ankyrin; bestE=5.8E-11); Ank_2 (1; Ankyrin; bestE=1.9E-13); Ank_3 (1; Ankyrin; bestE=2E-09); Ank_4 (1; Ankyrin; bestE=2.8E-12); Ank_5 (1; Ankyrin; bestE=7.7E-05)"	"GLOB:7; SP+TM:1"	"2.44"	"0.88"
"OG0023657"	"8"	"8"	"Uncharacterized soluble/orphan family"	"Low"	"No informative evidence."	""	"0"	"0"	"0"	"0"	""	""	"GLOB:8"	"0.83"	"0.5"
"OG0023790"	"8"	"8"	"Red chlorophyll catabolite reductase-like protein"	"Low"	"Plastid/chlorophyll-catabolism-like evidence."	""	"1"	"0"	"4"	"6"	"Red chlorophyll catabolite reductase (Fragment) (3); Red chlorophyll catabolite reductase 1, chloroplastic (1)"	"RCC_reductase (6; Red; bestE=3.8E-08)"	"GLOB:4; SP:4"	"0.72"	"0.67"
"OG0024846"	"7"	"7"	"TOD1/MUCI70-like hexosyltransferase"	"Moderate"	"MUCI70/TOD1 glycosyltransferase-like domain suggests matrix/cell-wall polysaccharide modification."	""	"1"	"0"	"1"	"4"	"Probable hexosyltransferase MUCI70 (1)"	"TOD1_MUCI70 (4; TOD1/MUCI70,; bestE=1.8E-11)"	"GLOB:5; SP:2"	"2.44"	"0.88"
"OG0024979"	"7"	"7"	"Uncharacterized soluble/orphan family"	"Low"	"No informative evidence."	""	"0"	"0"	"0"	"0"	""	""	"GLOB:7"	"0.83"	"0.5"
"OG0025015"	"7"	"7"	"Uncharacterized pan-calcifier multi-pass membrane family"	"Watchlist"	"7/7 predicted TM and no homology; strong orphan transporter/membrane follow-up candidate."	""	"0"	"7"	"0"	"0"	""	""	"TM:7"	"1.94"	"1.4"
"OG0025016"	"7"	"7"	"Uncharacterized soluble/orphan family"	"Low"	"No informative evidence."	""	"0"	"0"	"0"	"0"	""	""	"GLOB:7"	"0.83"	"0.5"
"OG0025059"	"7"	"6"	"Uncharacterized secreted proline/cysteine-rich orphan protein"	"Moderate"	"5/7 SignalP positives, no TM, no homology; classic novel secreted matrix-candidate profile but no functional domain."	"Should be called an orphan candidate, not a known matrix protein."	"5"	"0"	"0"	"0"	""	""	"GLOB:2; SP:5"	"2.39"	"1.14"
"OG0026865"	"6"	"6"	"JmjC/cupin hydroxylase-like enzyme"	"Watchlist"	"Hydroxylase chemistry could affect matrix proteins, but evidence points broadly to JmjC/PSR-like enzymes and is indirect."	""	"0"	"0"	"6"	"5"	"Bifunctional arginine demethylase and lysyl-hydroxylase PSR (3); Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 (2); Arginine-specific demethylase JMJ22 (1)"	"JmjC (5; JmjC; bestE=7.6E-10); Cupin_8 (1; Cupin-like; bestE=3E-10)"	"GLOB:6"	"1.28"	"0.97"
